image_name,candidate_mode,region_id,area,mean_confidence,peak_confidence,mean_hardness,mean_instability,mean_target_contrast,region_score,touches_dilated_target,selected,peak_y,peak_x,ohem_overlap_pixels,ohem_overlap_fraction,tce_removed_far_fp_pixels,detached_far_fp_pixels,flat_background_pixels
001289,region_component,1,1,0.19305308163166046,0.19305308163166046,0.199855238199234,0.02398030459880829,0.7209169864654541,0.02781490190834367,0,1,,,1,1.0,0,0,0
001289,region_component,2,1,0.343761146068573,0.343761146068573,0.40703219175338745,0.0189020037651062,0.6671003699302673,0.09334191971347386,0,1,,,1,1.0,0,0,0
001289,region_component,3,2,0.7164477109909058,0.8433278799057007,1.2721563577651978,0.05394846200942993,0.9162397980690002,0.9829832166191935,0,1,,,2,1.0,2,2,0
001289,region_component,4,13,0.4942118227481842,0.9658616781234741,0.9805605411529541,0.07987204194068909,0.9241498708724976,0.8752492657790371,0,1,,,13,1.0,6,6,0
001289,region_component,5,2,0.11245875060558319,0.12453334778547287,0.09742356091737747,0.039810266345739365,0.8483066558837891,0.010292065397750905,0,1,,,2,1.0,0,0,0
000906,region_component,1,1,0.3751438856124878,0.3751438856124878,0.46594974398612976,0.005376905202865601,0.5004844069480896,0.08748377219091304,0,1,,,1,1.0,0,0,0
000906,region_component,2,1,0.2576330900192261,0.2576330900192261,0.294045627117157,0.005762308835983276,0.5053017735481262,0.03827958229978284,0,1,,,1,1.0,0,0,0
000906,region_component,3,1,0.7127256393432617,0.7127256393432617,1.2362468242645264,0.006431639194488525,0.5136651396751404,0.4525928243776333,0,1,,,1,1.0,0,1,0
000967,region_component,1,3,0.4281909763813019,0.8360076546669006,0.7500059008598328,0.019204488024115562,0.6361484527587891,0.39887187023277865,0,1,,,3,1.0,1,1,0
000967,region_component,2,6,0.47354236245155334,0.7715116143226624,0.6848506331443787,0.016160137951374054,0.598517894744873,0.316239030252191,0,1,,,6,1.0,2,2,0
000510,region_component,1,10,0.2875727713108063,0.4793633222579956,0.3263697028160095,0.04083254933357239,0.8292206525802612,0.12973129332901953,0,1,,,10,1.0,0,0,0
000510,region_component,2,5,0.5504673719406128,0.7996434569358826,0.8235990405082703,0.04478158801794052,0.8751527667045593,0.5763629958452904,0,1,,,5,1.0,3,3,0
000510,region_component,3,11,0.5968536734580994,0.9853750467300415,1.4558204412460327,0.04016837850213051,0.7934135794639587,1.138174896102244,0,1,,,11,1.0,3,5,0
000510,region_component,4,1,0.10153033584356308,0.10153033584356308,0.09966664016246796,0.013388402760028839,0.5995059609413147,0.006066513195015438,0,1,,,1,1.0,0,0,0
000720,region_component,1,1,0.590369701385498,0.590369701385498,0.8854568004608154,0.005811214447021484,0.5039850473403931,0.26345660445045527,0,1,,,1,1.0,0,1,0
000720,region_component,2,1,0.18840979039669037,0.18840979039669037,0.20376844704151154,0.008142337203025818,0.533075749874115,0.02046582840828587,0,1,,,1,1.0,0,0,0
000720,region_component,3,2,0.7227401733398438,0.802880585193634,1.3136835098266602,0.006672263145446777,0.5147426128387451,0.542914983127211,0,1,,,2,1.0,1,2,0
000720,region_component,4,2,0.42602211236953735,0.5883711576461792,0.5808091759681702,0.01778688281774521,0.6486915349960327,0.2216782451685591,0,1,,,2,1.0,0,1,0
